FILE	SOURCE	DESCRIPTION
95256.pdf	https://www.delock.de/produkt/95256/pdf.html?sprache=en	Datasheet for Delock #95256 MiniPCIe GPU (SM750 based)
ATX12VC_Guide.pdf	https://edc.intel.com/content/www/us/en/design/products-and-solutions/processors-and-chipsets/alder-lake-s/atx12vo-12v-only-desktop-power-supply-design-guide/2.11/	ATX12VO Specification for Power Supplies
ATX_Board.jpg	https://www.techpowerup.com/forums/threads/pc-component-dimensions.157239/	ATX Maindoard Dimensions and metrics
ATX_Power_Connector.pdf	https://www.molex.com/en-us/products/part-detail/442060007?display=pdf	Electrical and mechanical specs for the ATX Power Connector
Case-Design-Guide.jpg	https://www.protocase.com/resources/how-to-design-for-motherboards/	ATX compliant rear case design margins
DTX.pdf	https://web.archive.org/web/20090824030803/http://www.dtxpc.org/_docs/42197-DTX_Specification.pdf	DTX Specification
DTX_Overview.pdf	https://web.archive.org/web/20090823194411/http://www.dtxpc.org/_docs/DTX_Overview.pdf	Overview of the DTX Specification
IO_Placement.jpg	https://www.techpowerup.com/forums/threads/pc-component-dimensions.157239/	ATX I/O Placement Guide
IO_Shield.jpg	https://www.techpowerup.com/forums/threads/pc-component-dimensions.157239/	ATX I/O Shield Specifications
ITX_Board.jpg	https://www.techpowerup.com/forums/threads/pc-component-dimensions.157239/	Mini-ITX Maindoard Overview
ITX_Layout.jpg	https://www.techpowerup.com/forums/threads/pc-component-dimensions.157239/	Mini-ITX Maindoard Dimensions and metrics
JM20330.pdf	https://www.digchip.com/datasheets/download_datasheet.php?id=2755473&part-number=JM20330	JMicron JM20330 Overview Sheet
JM20330_Spec.pdf	https://ia601805.us.archive.org/13/items/JM20330/JM20330_Spec_Rev_3.0.pdf	JMicrom JM20330 Datasheet
JMH330.pdf	https://www.jmicron.com/file/download/1030/JMH330+Product+Brief.pdf	JMicron JMH330 Product Brief
JMH330S.pdf	https://www.jmicron.com/file/download/1029/JMH330S+Product+Brief.pdf	JMicron JMH330S Product Brief
Lo-tech-ISA-USB-adapter-schematic.png	https://www.lo-tech.co.uk/wiki/Lo-tech_ISA_USB_Adapter	WCH375-based ISA USB Mass Storage Controller (USB2ISA)
MicroATX_Board.jpg	https://www.techpowerup.com/forums/threads/pc-component-dimensions.157239/	MicorATX Mainboard Dimenstions and Area Designations
PC104.pdf	https://pc104.org/wp-content/uploads/2015/02/PC104_Spec_v2_6.pdf	PC/104 specification
PC104Plus.pdf	https://pc104.org/wp-content/uploads/2015/02/PC104_Plus_v2_32.pdf	PC/104-Plus specification
PC-Card.md	https://web.archive.org/web/19971211121553/http://www.pc-card.com/stand_overview.html	PC Card Standard Overview
PCI-Slit_Dimensions.png	https://www.congtytransang.vn/2018/09/21/Card-PCI-full-length-half-length-v%C3%A0-low-profile-kh%C3%A1c-nhau-th%E1%BA%BF-n%C3%A0o	Dimensions of PCI slot cards
SM750.pdf	https://datasheet4u.com/pdf-down/S/M/7/SM750-SiliconMotion.pdf	Datasheet for SilicomMotion SM750 2D GPU
SOM304D3_DS.pdf	https://www.icop.com.tw/file?serial=SOM304DX3_datasheet	Datasheet for ICOP SOM304D3 SOM
SOM304D3_UM.pdf	https://www.icop.com.tw/file?serial=SOM304DX3_UM_v1r0A	Datasheet for ICOP SOM304D3 SOM
SOM304RD-PI_DS.pdf	https://www.icop.com.tw/file?serial=SOM304RD-PI_datasheet	Datasheet for ICOP SOM304RD-PI SOM
SOM304RD-PI_UM.pdf	https://www.icop.com.tw/file?serial=SOM304RD-PI%20_UM_v1r0A	SOM304RD-PI SOM & Development Kit User Manual
SOM304RD-VI_DS.pdf	https://icop-shop.com/product/som304rd52vine1/	SOM304RD-VI SOM Datasheet
SOM304RD-VI_UM.pdf	https://icop-shop.com/product/som304rd52vine1/	SOM304RD-VI SOM User Manual
SOM304SX-VI_DS.pdf	https://www.icop.com.tw/file?serial=SOM304SX-VI_datasheet	Datasheet for ICOP SOM304SX-VI SOM
SOM304SX-VI_UM.pdf	https://www.icop.com.tw/file?serial=SOM304SX-VI_UM_v1r0A	User Manual for ICOP SOM304SX-VI
PEX811s.pdf	https://docs.broadcom.com/doc/12351805	Datasheet for PEX 8112 PCI to PCIe Chip
VGA0429L.pdf	https://www.sunix.com/en/download.php?file=datasheet&file_link=download/datasheet/2017/20170824141021_VGA0429L-Datasheet-V11.pdf	Datasheet for Sunix VGA0429L Card (SM750 based)
VGA0449M.pdf	https://www.sunix.com/en/download.php?file=datasheet&file_link=download/datasheet/2017/20170824135521_VGA0449M-Datasheet-V11.pdf	Datasheet for Sunix VGA0449M Card (SM750 based)
WCH375.pdf	https://www.lo-tech.co.uk/downloads/isa-usb/CH375-datasheet.pdf	Datasheet for CH375 Chip - used for USB -> ISA Conversion (USB2ISA)
WCH559.pdf	https://www.wch-ic.com/downloads/CH559DS1_PDF.html	Datasheet for WC CH559 Chip - used for USB -> PS/2 Conversion (HIDman)
WCH375_ISA-USB.png	https://tefatronix.g6.cz/display.php?page=isa_usb&lang=en	Schematic for the WCH375-based ISA USB Storage Controller Card
